sample,generation_time_sec,num_nodes,num_edges,path_length,linearity,leniency,progression_complexity,topology_complexity,cycle_density,shortcut_density,gate_depth_ratio,path_depth_ratio,directionality_gap,constraint_valid,repair_applied,total_repairs,lock_key_repairs,progression_repairs,wave3_repairs,rule_applied,rule_skipped,puzzle_count,item_count,switch_count,stair_count,gate_variety,has_switch_feature,has_stair_feature,has_shortcut,has_cycle,has_wave3_repair
38,3.741621494293213,15,29,6,0.4666666666666667,0.5,0.49437766830870283,0.3386535303776683,0.2857142857142857,0.0,0.16666666666666666,0.42857142857142855,0.0,1.0,0.0,0,0,0,0,16,1,6,1,0,0,0.4,0.0,0.0,0.0,1.0,0.0
39,2.7018442153930664,12,24,5,0.5,1.0,0.49664696969696975,0.30966666666666665,0.3333333333333333,0.0,0.2,0.45454545454545453,0.0,1.0,0.0,0,0,0,0,12,3,3,4,0,4,0.4,0.0,1.0,0.0,1.0,0.0
40,3.1349775791168213,13,26,5,0.46153846153846156,1.0,0.2848051282051282,0.2891282051282052,0.3333333333333333,0.0,0.2,0.4166666666666667,0.0,1.0,0.0,0,0,0,0,15,3,0,0,0,0,0.2,0.0,0.0,0.0,1.0,0.0
41,2.1176106929779053,9,17,5,0.6666666666666666,1.0,0.4858611111111112,0.26107843137254905,0.25,0.0,0.2,0.625,0.0,1.0,0.0,0,0,0,0,7,3,1,1,0,0,0.0,0.0,0.0,0.0,1.0,0.0
42,2.518115282058716,11,21,5,0.5454545454545454,1.0,0.5027506493506494,0.3152034632034632,0.4,0.0,0.2,0.5,0.0,1.0,0.0,0,0,0,0,13,2,3,2,0,2,0.4,0.0,1.0,0.0,1.0,0.0
43,3.103949785232544,14,26,6,0.5,1.0,0.31016959706959707,0.29059340659340666,0.2857142857142857,0.0,0.16666666666666666,0.46153846153846156,0.0,1.0,0.0,0,0,0,0,12,2,1,2,0,0,0.2,0.0,0.0,0.0,1.0,0.0
44,2.805401563644409,14,26,5,0.42857142857142855,1.0,0.4729406593406594,0.27290109890109887,0.2857142857142857,0.0,0.2,0.38461538461538464,0.0,1.0,0.0,0,0,0,0,11,4,2,1,2,0,0.2,1.0,0.0,0.0,1.0,0.0
45,3.6074178218841553,15,29,6,0.4666666666666667,0.3333333333333333,0.4913569786535304,0.34520525451559936,0.2857142857142857,0.0,0.16666666666666666,0.42857142857142855,0.0,1.0,0.0,0,0,0,0,13,5,4,3,1,0,0.4,1.0,0.0,0.0,1.0,0.0
46,2.9603867530822754,13,28,5,0.46153846153846156,1.0,0.4708717948717949,0.2862271062271063,0.3333333333333333,0.0,0.2,0.4166666666666667,0.0,1.0,0.0,0,0,0,0,12,4,0,2,0,0,0.0,0.0,0.0,0.0,1.0,0.0
47,2.9999494552612305,12,23,6,0.5833333333333334,1.0,0.4909849143610013,0.33089855072463764,0.3333333333333333,0.0,0.16666666666666666,0.5454545454545454,0.0,1.0,0.0,0,0,0,0,12,4,1,1,0,2,0.4,0.0,1.0,0.0,1.0,0.0
