seed,arm,cognitive_weight,generation_time_sec,nodes,edges,linearity,leniency,progression_complexity,topology_complexity,cycle_density,shortcut_density,gate_depth_ratio,path_depth_ratio,directionality_gap,constraint_valid,path_exists,cbs_fitness,cbs_confusion_ratio,cbs_path_efficiency,cbs_room_entropy,cbs_proxy_mode
527,COGNITIVE_OFF,0.0,23.746463775634766,22,43,0.3181818181818182,1.0,0.48554220275848187,0.4067610993657505,0.2727272727272727,0.0,0.3333333333333333,0.2857142857142857,0.0,0.0,1.0,0.9786427397952736,1.6522727272727273,0.5714285714285714,0.3610273175941167,1.0
527,COGNITIVE_ON,0.08,22.53247880935669,22,43,0.3181818181818182,1.0,0.48554220275848187,0.4067610993657505,0.2727272727272727,0.0,0.3333333333333333,0.2857142857142857,0.0,0.0,1.0,0.9786427397952736,1.6522727272727273,0.5714285714285714,0.3610273175941167,1.0
624,COGNITIVE_OFF,0.0,25.36151647567749,29,56,0.2413793103448276,1.0,0.4684018062397372,0.3742352216748769,0.2857142857142857,0.0,0.16666666666666666,0.21428571428571427,0.0,0.0,1.0,-10.0,1.646551724137931,0.0,0.3948811487542538,1.0
624,COGNITIVE_ON,0.08,24.82463788986206,25,49,0.28,0.6666666666666666,0.4715006802721089,0.37679727891156467,0.3333333333333333,0.0,0.16666666666666666,0.25,0.0,0.0,1.0,0.9744271342877521,1.638,0.6,0.36734693783840067,1.0
721,COGNITIVE_OFF,0.0,24.66316509246826,23,44,0.2608695652173913,1.0,0.4746162055335969,0.3425632411067194,0.2727272727272727,0.0,0.2,0.22727272727272727,0.0,0.0,1.0,0.9720512302236268,1.6304347826086958,0.6666666666666666,0.39035372710061333,1.0
721,COGNITIVE_ON,0.08,31.374690532684326,26,51,0.2692307692307692,1.0,0.4472846153846154,0.34063951734539977,0.23076923076923078,0.0,0.0,0.24,0.0,0.0,1.0,0.9785436924825117,1.6519230769230768,0.625,0.393136031463838,1.0
818,COGNITIVE_OFF,0.0,20.247092962265015,26,50,0.3076923076923077,0.6,0.48083472527472537,0.3804769230769231,0.3076923076923077,0.0,0.14285714285714285,0.28,0.0,0.0,1.0,0.9806730521635374,1.6596153846153847,0.6666666666666666,0.533291663652377,1.0
818,COGNITIVE_ON,0.08,20.04790496826172,26,50,0.3076923076923077,0.6,0.48083472527472537,0.3804769230769231,0.3076923076923077,0.0,0.14285714285714285,0.28,0.0,0.0,1.0,0.9806730521635374,1.6596153846153847,0.6666666666666666,0.533291663652377,1.0
915,COGNITIVE_OFF,0.0,19.632981300354004,24,44,0.2916666666666667,0.5,0.4780233530961792,0.36039393939393943,0.25,0.0,0.16666666666666666,0.2608695652173913,0.0,0.0,1.0,0.9576020049791979,1.5895833333333333,0.6,0.4065578129820768,1.0
915,COGNITIVE_ON,0.08,19.479577779769897,24,44,0.2916666666666667,0.5,0.4780233530961792,0.36039393939393943,0.25,0.0,0.16666666666666666,0.2608695652173913,0.0,0.0,1.0,0.9576020049791979,1.5895833333333333,0.6,0.4065578129820768,1.0
1012,COGNITIVE_OFF,0.0,20.40799641609192,25,47,0.28,1.0,0.37801893617021276,0.32747659574468085,0.25,0.0,0.16666666666666666,0.25,0.0,0.0,1.0,-10.0,1.626,0.0,0.43395910638566493,1.0
1012,COGNITIVE_ON,0.08,20.387048482894897,26,52,0.38461538461538464,0.75,0.4979974358974359,0.3950769230769231,0.3076923076923077,0.0,0.3333333333333333,0.36,0.0,0.0,1.0,0.983669772162582,1.6711538461538462,0.6153846153846154,0.3733939959693534,1.0
