method,seed,room_count,target_curve_len,generation_time_sec,eval_budget,evaluations_used,fitness,feasible_search,feasible_operational,constraint_violation,overall_completeness,constraint_valid,linearity,leniency,progression_complexity,topology_complexity,key_gate_count,key_before_lock_rate,switch_gate_count,switch_before_gate_rate,battery_gate_count,battery_satisfaction_rate,path_length,num_nodes,num_edges,path_redundancy,articulation_count,articulation_ratio,branch_count,branch_utility_rate,secret_component_count,secret_content_discoverability_rate,repair_applied,total_repairs,generation_constraint_rejections,candidate_repairs_applied,novelty_vs_reference,graph_edit_distance
RANDOM,82,30,30,7.806258201599121,512,512,0.19125176353896606,0.0,1.0,1.6979551014711434,1.0,1.0,0.3333333333333333,0.5,0.4806848484848485,0.3408571428571428,2.0,1.0,1.0,1.0,0.0,1.0,3.0,12.0,21.0,0.0,6.0,0.5,1.0,1.0,0.0,1.0,0.0,0.0,11.0,0.0,0.03640373664650048,0.07777777777777778
RANDOM,83,22,22,6.7048020362854,512,512,0.23715359912883838,0.0,1.0,1.0465430228658488,1.0,1.0,0.18181818181818182,0.3333333333333333,0.4771125329954599,0.3357250554323725,2.0,1.0,0.0,1.0,0.0,1.0,3.0,22.0,41.0,0.0,7.0,0.3181818181818182,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.08409575022357946,0.07714285714285714
RANDOM,84,33,33,8.206447124481201,512,512,0.16352268346884702,0.0,0.0,1.2560340974757447,0.75,1.0,0.11764705882352941,0.25,0.458937798725037,0.2981714855433699,2.0,1.0,3.0,1.0,2.0,1.0,3.0,34.0,59.0,0.0,19.0,0.5588235294117647,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.12203992786832132,0.06789215686274509
RANDOM,85,30,30,8.25385570526123,512,512,0.20168596415973308,0.0,0.0,1.635226224465407,0.75,1.0,0.26666666666666666,1.0,0.47195952380952383,0.31103571428571425,2.0,1.0,0.0,1.0,0.0,1.0,3.0,15.0,24.0,0.0,4.0,0.26666666666666666,1.0,1.0,1.0,1.0,0.0,0.0,7.0,0.0,0.0341619520819311,0.09272727272727271
RANDOM,86,27,27,7.766846418380737,512,512,0.2521797733843844,0.0,1.0,0.935219650317441,1.0,1.0,0.14814814814814814,0.3333333333333333,0.47075333697035826,0.3153301812450749,2.0,1.0,1.0,1.0,0.0,1.0,3.0,27.0,47.0,0.3333333333333333,11.0,0.4074074074074074,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.10346804966864896,0.07291666666666666
RANDOM,87,27,27,7.791339635848999,512,512,0.18597470460611396,0.0,1.0,1.4827476829483526,1.0,1.0,0.3076923076923077,1.0,0.46780512820512826,0.3378461538461539,5.0,1.0,0.0,1.0,0.0,1.0,3.0,13.0,21.0,0.0,9.0,0.6923076923076923,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.023410675138182253,0.10452091767881241
RANDOM,88,31,31,8.293957710266113,512,512,0.1792385271085779,0.0,1.0,1.7230340581249088,1.0,1.0,0.26666666666666666,0.3333333333333333,0.48089841269841277,0.33339682539682536,2.0,1.0,0.0,1.0,0.0,1.0,3.0,15.0,27.0,0.0,4.0,0.26666666666666666,1.0,1.0,1.0,1.0,0.0,0.0,10.0,0.0,0.060455062548793494,0.056739130434782604
RANDOM,89,22,22,6.581916809082031,512,512,0.17499881122774866,0.0,1.0,2.1107613204738627,1.0,1.0,0.4444444444444444,1.0,0.479902380952381,0.2574444444444445,2.0,1.0,0.0,1.0,0.0,1.0,3.0,9.0,14.0,0.0,4.0,0.4444444444444444,1.0,1.0,0.0,1.0,0.0,0.0,10.0,0.0,0.059924612070387274,0.20550505050505052
RANDOM,90,33,33,7.957495212554932,512,512,0.19267794828610324,0.0,1.0,1.1742739350034792,1.0,1.0,0.12121212121212122,1.0,0.47037007575757583,0.30309848484848484,2.0,1.0,0.0,1.0,0.0,1.0,3.0,33.0,60.0,0.0,18.0,0.5454545454545454,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.10628073833855559,0.06142773892773894
RANDOM,91,33,33,8.342169046401978,512,512,0.17610165154777782,0.0,1.0,1.7230340581249088,1.0,1.0,0.26666666666666666,0.5,0.48472063492063494,0.3283597883597884,2.0,1.0,0.0,1.0,0.0,1.0,3.0,15.0,27.0,0.0,4.0,0.26666666666666666,1.0,1.0,0.0,1.0,0.0,0.0,8.0,0.0,0.06759619079541904,0.06
RANDOM,92,31,31,8.226475715637207,512,512,0.21100081096067919,0.0,0.0,1.6234520660064116,0.75,1.0,0.2857142857142857,1.0,0.4748934225195095,0.2957639751552795,2.0,1.0,0.0,1.0,0.0,1.0,3.0,14.0,23.0,0.0,5.0,0.35714285714285715,1.0,1.0,0.0,1.0,0.0,0.0,7.0,0.0,0.02445354832197876,0.13214285714285715
